Title	Author	DOI	Link DOI	ACM	IEEE	SCOPUS
architecting data science education	Ermolayev, V., Suárez-Figueroa, M.C., Molchanovskyi, O.		https://doi.org/			https://www.scopus.com/inward/record.url?eid=2-s2.0-85048355807&partnerID=40&md5=d7cbd193f1a4d2707887d143cdc8bf29
architectural dependency analysis addressing the elephant in the room	Sangwan, R.S., Nord, R.L., Ozkaya, I.	10.1109/MC.2021.3050538	https://doi.org/10.1109/MC.2021.3050538			https://www.scopus.com/inward/record.url?eid=2-s2.0-85103186284&partnerID=40&md5=a7f666db5fe837a947d2781fda240dde
architectural reasoning in archjava	Aldrich, J., Chambers, C., Notkin, D.	10.1007/3-540-47993-7_15	https://doi.org/10.1007/3-540-47993-7_15			https://www.scopus.com/inward/record.url?eid=2-s2.0-84944061961&partnerID=40&md5=018436f83e5faf6fbd28a88f9f955122
architectural repair of open source software	Tran, J.B., Godfrey, M.W., Lee, E.H.S., Holt, R.C.	10.1109/WPC.2000.852479	https://doi.org/10.1109/WPC.2000.852479			https://www.scopus.com/inward/record.url?eid=2-s2.0-84951047979&partnerID=40&md5=ccc6ac37c1f470cf111c205fd9465eaf
architectural specifications in casl	Michel Bidoit, Donald Sannella, Andrzej Tarlecki	10.1007/s001650200012	https://doi.org/10.1007/s001650200012	https://dl.acm.org/doi/10.1007/s001650200012		https://www.scopus.com/inward/record.url?eid=2-s2.0-15744402408&partnerID=40&md5=480746e90d3d6f873314ea62cfd543f7
architecture comprehension tools for a pbx system	Krikhaar, R.L., de Jong, R.P., Medema, J.P., Feijs, L.M.G.		https://doi.org/			https://www.scopus.com/inward/record.url?eid=2-s2.0-0032655050&partnerID=40&md5=2e0dce6a753e25cd02e5fe7a599c8a06
architecture recovery and abstraction from the perspective of processes	Li Qingshan, Chu Hua, Hu Shengming, Chen Ping, Zhao Yun	10.1109/WCRE.2005.6	https://doi.org/10.1109/WCRE.2005.6	https://dl.acm.org/doi/10.1109/WCRE.2005.6	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566146	
architecture recovery and evaluation aiming at program understanding and reuse	Aline Vasconcelos, Cláudia Werner	10.5555/1784860.1784868	https://doi.org/10.5555/1784860.1784868	https://dl.acm.org/doi/10.5555/1784860.1784868		https://www.scopus.com/inward/record.url?eid=2-s2.0-49949114400&partnerID=40&md5=0066704d879349335b6212b73373797f
architecture recovery of dynamically linked applications a case study	Igor Ivkovic, Michael W. Godfrey	10.5555/580131.857016	https://doi.org/10.5555/580131.857016	https://dl.acm.org/doi/10.5555/580131.857016		
architecture recovery using latent semantic indexing and kmeans an empirical evaluation	Michele Risi, Giuseppe Scanniello, Genoveffa Tortora	10.1109/SEFM.2010.19	https://doi.org/10.1109/SEFM.2010.19	https://dl.acm.org/doi/10.1109/SEFM.2010.19	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5637415	https://www.scopus.com/inward/record.url?eid=2-s2.0-78650494935&partnerID=40&md5=e784d6df6af5ad2c6d9943549bc2ad13
archjava connecting software architecture to implementation	Aldrich, J., Chambers, C., Notkin, D.		https://doi.org/			https://www.scopus.com/inward/record.url?eid=2-s2.0-0036036783&partnerID=40&md5=c14d33108be0fec637a4cee83366e5cf
arcode a tool for supporting comprehension and implementation of architectural concerns	Shokri, A., Mirakhorli, M.	10.1109/ICPC52881.2021.00056	https://doi.org/10.1109/ICPC52881.2021.00056			https://www.scopus.com/inward/record.url?eid=2-s2.0-85113229329&partnerID=40&md5=5d0c4277759110275987ed91ca1f88e2
are decomposition slices clones	Gallagher, K., Layman, L.	10.1109/WPC.2003.1199209	https://doi.org/10.1109/WPC.2003.1199209			https://www.scopus.com/inward/record.url?eid=2-s2.0-84978993718&partnerID=40&md5=a362a3a2d8e5041d6dc9585f6e5d8f7d
are multilanguage design smells faultprone an empirical study	Abidi, M., Rahman, M.S., Openja, M., Khomh, F.	10.1145/3432690	https://doi.org/10.1145/3432690			https://www.scopus.com/inward/record.url?eid=2-s2.0-85105712915&partnerID=40&md5=5c6d448d8c27d1303ba561864079e9fe
are test smells really harmful an empirical study	Bavota, G., Qusef, A., Oliveto, R., De Lucia, A., Binkley, D.	10.1007/s10664-014-9313-0	https://doi.org/10.1007/s10664-014-9313-0			https://www.scopus.com/inward/record.url?eid=2-s2.0-84930472275&partnerID=40&md5=3bee0ff5dda603ccddb52116730e3efb
