type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
Article	Information Types and Cognitive Principles in Program Comprehension: Towards Adaptable Support for Novice Visual Programmers	information types and cognitive principles in program comprehension towards adaptable support for novice visual programmers	10.5555/648029.745669	https://dl.acm.org/doi/10.5555/648029.745669	Judith Good, Paul Brna	ITS '98: Proceedings of the 4th International Conference on Intelligent Tutoring Systems	16 August 1998
Article	Quantifying programmers' mental workload during program comprehension based on cerebral blood flow measurement: a controlled experiment	quantifying programmers mental workload during program comprehension based on cerebral blood flow measurement a controlled experiment	10.1145/2591062.2591098	https://dl.acm.org/doi/10.1145/2591062.2591098	Takao Nakagawa, Yasutaka Kamei, Hidetake Uwano, Akito Monden, Kenichi Matsumoto, Daniel M. German	ICSE Companion 2014: Companion Proceedings of the 36th International Conference on Software Engineering	31 May 2014
Article	Program Understanding, Programming Knowledge, Modeling Programs and Programmers	program understanding, programming knowledge, modeling programs and programmers	10.5555/1566274.1566343	https://dl.acm.org/doi/10.5555/1566274.1566343		Proceedings of the 2008 conference on Knowledge-Based Software Engineering: Proceedings of the Eighth Joint Conference on Knowledge-Based Software Engineering	29 June 2008
research-article	Learning a Metric for Code Readability	learning a metric for code readability	10.1109/TSE.2009.70	https://dl.acm.org/doi/10.1109/TSE.2009.70	Raymond P. L. Buse, Westley R. Weimer	IEEE Transactions on Software Engineering (ISOF)	01 July 2010
article	A template-oriented approach for simulation program understanding	a templateoriented approach for simulation program understanding	10.1016/0378-4754%2892%2990003-Y	https://dl.acm.org/doi/10.1016/0378-4754%2892%2990003-Y	T. I. Ören, R. N. Wendt, D. G. King, O. Abou-Rabia, L. G. Birta	Mathematics and Computers in Simulation (MCSC)	01 September 1992
Article	A proposal for a measure of program understanding	a proposal for a measure of program understanding	10.1145/800038.801004	https://dl.acm.org/doi/10.1145/800038.801004	Mark Haas, Johnette Hassell	SIGCSE '83: Proceedings of the fourteenth SIGCSE technical symposium on Computer science education	01 February 1983
article	The use of domain knowledge in program understanding	the use of domain knowledge in program understanding	10.1023/A%3A1018976708691	https://dl.acm.org/doi/10.1023/A%3A1018976708691	Spencer Rugaber	Annals of Software Engineering (ANSE)	11 January 2000
research-article	Using a Concept Lattice of Decomposition Slices for Program Understanding and Impact Analysis	using a concept lattice of decomposition slices for program understanding and impact analysis	10.1109/TSE.2003.1205178	https://dl.acm.org/doi/10.1109/TSE.2003.1205178	Paolo Tonella	IEEE Transactions on Software Engineering (ISOF)	01 June 2003
Article	Data Mining Source Code to Facilitate Program Comprehension: Experiments on Clustering Data Retrieved from C++ Programs	data mining source code to facilitate program comprehension experiments on clustering data retrieved from c++ programs	10.5555/998682.1006837	https://dl.acm.org/doi/10.5555/998682.1006837		IWPC '04: Proceedings of the 12th IEEE International Workshop on Program Comprehension	24 June 2004
Article	An Approach to Understanding Program Comprehensibility Using Spatial Complexity, Concept Assignment and Typographical Style	an approach to understanding program comprehensibility using spatial complexity, concept assignment and typographical style	10.5555/1018431.1021486	https://dl.acm.org/doi/10.5555/1018431.1021486	Andrew Mohan, Nicolas Gold, Paul Layzell	ICSM '04: Proceedings of the 20th IEEE International Conference on Software Maintenance	11 September 2004
article	Program style analysis: a natural by-product of program compilation	program style analysis a natural byproduct of program compilation	10.1145/5657.5661	https://dl.acm.org/doi/10.1145/5657.5661	K. A. Redish, W. F. Smyth	Communications of the ACM (CACM)	01 February 1986
research-article	Normalizing source code vocabulary to support program comprehension and software quality	normalizing source code vocabulary to support program comprehension and software quality	10.5555/2486788.2487012	https://dl.acm.org/doi/10.5555/2486788.2487012	Latifa Guerrouj	ICSE '13: Proceedings of the 2013 International Conference on Software Engineering	18 May 2013
doctoral_thesis	Information needs of developers for program comprehension during software maintenance tasks	information needs of developers for program comprehension during software maintenance tasks	10.5555/1626690	https://dl.acm.org/doi/book/10.5555/1626690	Lucas Michael Layman, Robert St. Amant, Laurie A. Williams		01 January 2009
proceeding	WPC '96: Proceedings of the 4th International Workshop on Program Comprehension (WPC '96)	wpc 96 proceedings of the 4th international workshop on program comprehension (wpc 96)	10.5555/525394	https://dl.acm.org/doi/proceedings/10.5555/525394			29 March 1996
Article	An Empirical Study of the Impact of Two Antipatterns, Blob and Spaghetti Code, on Program Comprehension	an empirical study of the impact of two antipatterns, blob and spaghetti code, on program comprehension	10.1109/CSMR.2011.24	https://dl.acm.org/doi/10.1109/CSMR.2011.24	Marwen Abbes, Foutse Khomh, Yann-Gael Gueheneuc, Giuliano Antoniol	CSMR '11: Proceedings of the 2011 15th European Conference on Software Maintenance and Reengineering	01 March 2011
research-article	Supporting Program Comprehension through Fast Query response in Large-Scale Systems	supporting program comprehension through fast query response in largescale systems	10.1145/3387904.3389260	https://dl.acm.org/doi/10.1145/3387904.3389260	Jinfeng Lin, Yalin Liu, Jane Cleland-Huang	ICPC '20: Proceedings of the 28th International Conference on Program Comprehension	13 July 2020
research-article	Detecting and comparing brain activity in short program comprehension using EEG	detecting and comparing brain activity in short program comprehension using eeg	10.1109/FIE.2017.8190486	https://dl.acm.org/doi/10.1109/FIE.2017.8190486	Martin K.-C. Yeh, Dan Gopstein, Yu Yan, Yanyan Zhuang	2017 IEEE Frontiers in Education Conference (FIE)	18 October 2017
proceeding	ICPC '11: Proceedings of the 2011 IEEE 19th International Conference on Program Comprehension	icpc 11 proceedings of the 2011 ieee 19th international conference on program comprehension	10.5555/2057176	https://dl.acm.org/doi/proceedings/10.5555/2057176			22 June 2011
Article	Refining Existing Theories of Program Comprehension During Maintenance for Concurrent Software	refining existing theories of program comprehension during maintenance for concurrent software	10.1109/ICPC.2008.40	https://dl.acm.org/doi/10.1109/ICPC.2008.40	Scott D. Fleming, Eileen Kraemer, R. E.  K. Stirewalt, Laura K. Dillon, Shaohua Xie	ICPC '08: Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension	10 June 2008
Article	Program comprehension with dynamic recovery of code collaboration patterns and roles	program comprehension with dynamic recovery of code collaboration patterns and roles	10.5555/1034914.1034919	https://dl.acm.org/doi/10.5555/1034914.1034919	Lei Wu, Houari Sahraoui, Petko Valtchev	CASCON '04: Proceedings of the 2004 conference of the Centre for Advanced Studies on Collaborative research	04 October 2004
proceeding	WPC '97: Proceedings of the 5th International Workshop on Program Comprehension (WPC '97)	wpc 97 proceedings of the 5th international workshop on program comprehension (wpc 97)	10.5555/523511	https://dl.acm.org/doi/proceedings/10.5555/523511			28 May 1997
doctoral_thesis	A comparison of program comprehension by procedural and object-oriented programmers	a comparison of program comprehension by procedural and objectoriented programmers	10.5555/924672	https://dl.acm.org/doi/book/10.5555/924672	Cynthia L. Corritore, Susan Wiedenbeck		01 January 1996
doctoral_thesis	Beyond Child's Play: Understanding and Supporting Program Comprehension in Young Learners	beyond childs play understanding and supporting program comprehension in young learners	10.5555/AAI28772368	https://dl.acm.org/doi/book/10.5555/AAI28772368	Jean Salac, Franklin, Diana, Ko, Amy J., Chetty, Marshini, Barnes, Tiffany		01 January 2021
Article	A Concern Visualization Approach for Improving MATLAB and Octave Program Comprehension	a concern visualization approach for improving matlab and octave program comprehension	10.5555/2866596.2867046	https://dl.acm.org/doi/10.5555/2866596.2867046	Ivan De M. Lessa, Glauco De F. Carneiro, Miguel P. Monteiro, Fernando Brito e. Abreu	SBES '15: Proceedings of the 2015 29th Brazilian Symposium on Software Engineering	21 September 2015
article	The role of program structure in software maintenance	the role of program structure in software maintenance	10.1016/0020-7373%2892%2990051-L	https://dl.acm.org/doi/10.1016/0020-7373%2892%2990051-L	Deborah A. Boehm-Davis, Robert W. Holt, Alan C. Schultz	International Journal of Man-Machine Studies (IJMM)	01 January 1992
Article	Hierarchical coroutines a mechanism for improved program structure	hierarchical coroutines a mechanism for improved program structure	10.5555/800091.802949	https://dl.acm.org/doi/10.5555/800091.802949	Leonard I. Vanek, Rudolf Marty	ICSE '79: Proceedings of the 4th international conference on Software engineering	17 September 1979
research-article	An ontology toolkit for problem domain concept location in program comprehension	an ontology toolkit for problem domain concept location in program comprehension	10.5555/2486788.2487021	https://dl.acm.org/doi/10.5555/2486788.2487021	Nuno Ramos Carvalho	ICSE '13: Proceedings of the 2013 International Conference on Software Engineering	18 May 2013
Article	Does the "Refactor to Understand" Reverse Engineering Pattern Improve Program Comprehension?	does the refactor to understand reverse engineering pattern improve program comprehension	10.1109/CSMR.2005.25	https://dl.acm.org/doi/10.1109/CSMR.2005.25	Bart Du Bois, Serge Demeyer, Jan Verelst	CSMR '05: Proceedings of the Ninth European Conference on Software Maintenance and Reengineering	21 March 2005
Article	Queue-Based Cost Evaluation of Mental Simulation Process in Program Comprehension	queuebased cost evaluation of mental simulation process in program comprehension	10.5555/942804.943746	https://dl.acm.org/doi/10.5555/942804.943746	Masahide Nakamura, Akito Monden, Tomoaki Itoh, Ken-ichi Matsumoto, Yuichiro Kanzaki, Hirotsugu Satoh	METRICS '03: Proceedings of the 9th International Symposium on Software Metrics	03 September 2003
article	The influence of programmers' cognitive complexity on program comprehension and modification	the influence of programmers cognitive complexity on program comprehension and modification	10.1016/0020-7373%2889%2990028-X	https://dl.acm.org/doi/10.1016/0020-7373%2889%2990028-X	O. E. Khalil, J. D. Clark	International Journal of Man-Machine Studies (IJMM)	01 September 1989
research-article	A Comparison of Program Comprehension Strategies by Blind and Sighted Programmers	a comparison of program comprehension strategies by blind and sighted programmers	10.1109/TSE.2017.2729548	https://dl.acm.org/doi/10.1109/TSE.2017.2729548	Ameer Armaly, Paige Rodeghero, Collin McMillan	IEEE Transactions on Software Engineering (ISOF)	01 August 2018
