type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
article	Program Understanding as Constraint Satisfaction: Representation and Reasoning Techniques	program understanding as constraint satisfaction representation and reasoning techniques	10.1023/A%3A1008655230736	https://dl.acm.org/doi/10.1023/A%3A1008655230736	Steven Woods, Qiang Yang	Automated Software Engineering (KLU-AUSE)	01 April 1998
Article	Enhancing program readability and comprehensibility with tools for program visualization	enhancing program readability and comprehensibility with tools for program visualization	10.5555/55823.55858	https://dl.acm.org/doi/10.5555/55823.55858	R. Baecker	ICSE '88: Proceedings of the 10th international conference on Software engineering	01 April 1988
doctoral_thesis	On a measure of program structure.	on a measure of program structure.	10.5555/906949	https://dl.acm.org/doi/book/10.5555/906949	Robert Noyes Chanon		01 January 1974
Article	A Structured Demonstration of Five Program Comprehension Tools: Lessons Learnt	a structured demonstration of five program comprehension tools lessons learnt	10.5555/832307.837076	https://dl.acm.org/doi/10.5555/832307.837076	Susan Elliott Sim, Margaret-Anne Storey, Andreas Winter	WCRE '00: Proceedings of the Seventh Working Conference on Reverse Engineering (WCRE'00)	23 November 2000
Article	The program structure tree: computing control regions in linear time	the program structure tree computing control regions in linear time	10.1145/178243.178258	https://dl.acm.org/doi/10.1145/178243.178258	Richard Johnson, David Pearson, Keshav Pingali	PLDI '94: Proceedings of the ACM SIGPLAN 1994 conference on Programming language design and implementation	01 June 1994
book	Data structures, algorithms, and program style using C	data structures, algorithms, and program style using c	10.5555/46427	https://dl.acm.org/doi/book/10.5555/46427	James F. Korsh, Leonard J. Garrett		01 January 1988
Article	Early field experience with the Software Reconnaissance technique for program comprehension	early field experience with the software reconnaissance technique for program comprehension	10.5555/525595.836945	https://dl.acm.org/doi/10.5555/525595.836945	N. Wilde, C. Casey	WCRE '96: Proceedings of the 3rd Working Conference on Reverse Engineering (WCRE '96)	08 November 1996
book	6th International Workshop on Program Comprehension: Iwpc '98 : Proceedings, June 24-26, 1998, Ischia, Italy	6th international workshop on program comprehension iwpc 98 proceedings, june 2426, 1998, ischia, italy	10.5555/580952	https://dl.acm.org/doi/book/10.5555/580952			01 January 1998
doctoral_thesis	A test of a cognitive model of computer program readability.	a test of a cognitive model of computer program readability.	10.5555/908600	https://dl.acm.org/doi/book/10.5555/908600	Dennis Carl Bunde		01 January 1978
book	Data structures, algorithms, and program style using C	data structures, algorithms, and program style using c	10.5555/64118	https://dl.acm.org/doi/book/10.5555/64118	James F. Korsh, Leonard J. Garrett		03 January 1989
