type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,3196349,Anas  Shatnawi and Hudhaifa  Shatnawi and Mohamed Aymen Saied and Zakarea Al Shara and Houari  Sahraoui and Abdelhak  Seriai,,,,Identifying Software Components from Object-oriented APIs Based on Dynamic Analysis,189--199,,11,"dynamic analysis, object-oriented APIs, reuse, reverse engineering, software components, source code, understandability",10.1145/3196321.3196349,,,,,,,2018,,Proceedings of the 26th Conference on Program Comprehension,ICPC '18,,978-1-4503-5714-2,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,2094133,Teresa  Busjahn and Carsten  Schulte and Andreas  Busjahn,,,,Analysis of Code Reading to Gain More Insight in Program Comprehension,1--9,,9,"CS Ed research, code comprehension, code reading, educational research, eye tracking, program comprehension",10.1145/2094131.2094133,,,,,,,2011,,Proceedings of the 11th Koli Calling International Conference on Computing Education Research,Koli Calling '11,,978-1-4503-1052-9,"Koli, Finland",ACM,"New York, NY, USA"
phdthesis,1467681,Bradley Louis Vinz,,Letha H. Etzkorn,,,,,,,,,,,,,,2008,,A Synergistic Approach to Program Comprehension: Combining Code Understanding with Comment Understanding,,,978-0-549-58618-0,,University of Alabama in Huntsville,"Huntsville, AL, USA"
article,880369,,,,,Using Latent Semantic Analysis to Identify Similarities in Source Code to Support Program Understanding,46--,,,"LSA, Mosaic, computational linguistics, corpus based statistical method, information retrieval, information retrieval method, internal documentation, latent semantic analysis, natural language, natural languages, nontrivial software system, program understanding, reverse engineering, software component clustering, software components, source code, source code similarities, statistical analysis, system documentation",,,,,,,,2000,,Proceedings of the 12th IEEE International Conference on Tools with Artificial Intelligence,ICTAI '00,,,,IEEE Computer Society,"Washington, DC, USA"
article,3101447,H&#233;ctor Adri&#225;n Valdecantos and Katy  Tarrit and Mehdi  Mirakhorli and James O. Coplien,,,,An Empirical Study on Code Comprehension: Data Context Interaction Compared to Classical Object Oriented,275--285,,11,"controlled experiment, data context interaction, human subjects, object-oriented, program comprehension, programming languages, programming paradigms",10.1109/ICPC.2017.23,,,,,,,2017,,Proceedings of the 25th International Conference on Program Comprehension,ICPC '17,,978-1-5386-0535-6,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA"
article,1248780,Andrew J. Ko and Brad A. Myers and Michael J. Coblenz and Htet Htet Aung,,,,"An Exploratory Study of How Developers Seek, Relate, and Collect Relevant Information During Software Maintenance Tasks",971--987,,17,"Program investigation, Program investigation, program understanding, program comprehension, empirical software engineering, information foraging, information scent., empirical software engineering, information foraging, information scent., program comprehension, program understanding",10.1109/TSE.2006.116,IEEE Trans. Softw. Eng.,December 2006,32,12,,December,2006,0098-5589,,,,,,IEEE Press,"Piscataway, NJ, USA"
article,3338799,Fabian  Deitelhoff and Andreas  Harrer and Andrea  Kienle,,,,The Influence of Different AOI Models in Source Code Comprehension Analysis,10--17,,8,"AOI-DNA, AOI-STG, areas of interest, data fishing, eye tracking, program comprehension, signal detection, source code comprehension",10.1109/EMIP.2019.00010,,,,,,,2019,,Proceedings of the 6th International Workshop on Eye Movements in Programming,EMIP '19,,,"Montreal, Quebec, Canada",IEEE Press,"Piscataway, NJ, USA"
article,2838710,Eric  Harth and Philippe  Dugerdil,,,,Document Retrieval Metrics for Program Understanding,8--15,,8,"Document retrieval metrics, Domain ontology, Dynamic analysis, Program comprehension",10.1145/2838706.2838710,,,,,,,2015,,Proceedings of the 7th Forum for Information Retrieval Evaluation,FIRE '15,,978-1-4503-4004-5,"Gandhinagar, India",ACM,"New York, NY, USA"
article,1134471,Andrew  Ko,,,,Debugging by Asking Questions About Program Output,989--992,,4,"assumptions, debugging, direct manipulation, errors, faults, hypotheses, program comprehension, program understanding, questions, slicing, whyline",10.1145/1134285.1134471,,,,,,,2006,,Proceedings of the 28th International Conference on Software Engineering,ICSE '06,,1-59593-375-1,"Shanghai, China",ACM,"New York, NY, USA"
article,2479501,Tom  Lieber,,,,Theseus: Understanding Asynchronous Code,2731--2736,,6,"code understanding, debugging, programming",10.1145/2468356.2479501,,,,,,,2013,,CHI '13 Extended Abstracts on Human Factors in Computing Systems,CHI EA '13,,978-1-4503-1952-2,"Paris, France",ACM,"New York, NY, USA"
article,2557409,Tom  Lieber and Joel R. Brandt and Rob C. Miller,,,,Addressing Misconceptions About Code with Always-on Programming Visualizations,2481--2490,,10,"code understanding, debugging, programming",10.1145/2556288.2557409,,,,,,,2014,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '14,,978-1-4503-2473-1,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,1566889,Erkki  Laitila,,,,Foundation for Program Understanding,169--174,,6,"Artificial Intelligence, Maintenance, Program Comprehension, Reverse Engineering, Semiotics, Source Code Analysis, Theory Building",,,,,,,,2008,,Proceedings of the 2008 Conference on Tenth Scandinavian Conference on Artificial Intelligence: SCAI 2008,,,978-1-58603-867-0,,IOS Press,"Amsterdam, The Netherlands, The Netherlands"
article,859043,Paolo  Tonella,,,,Using a Concept Lattice of Decomposition Slices for Program Understanding and Impact Analysis,495--509,,15,"Program slicing, concept analysis, program comprehension, impact analysis, software maintenance.",10.1109/TSE.2003.1205178,IEEE Trans. Softw. Eng.,June 2003,29,6,,June,2003,0098-5589,,,,,,IEEE Press,"Piscataway, NJ, USA"
article,837017,Richard  Clayton and Spencer  Rugaber and Linda  Wills,,,,On the Knowledge Required to Understand a Program,69--,,,"program understanding, reverse engineering",,,,,,,,1998,,Proceedings of the Working Conference on Reverse Engineering (WCRE'98),WCRE '98,,0-8186-8967-6,,IEEE Computer Society,"Washington, DC, USA"
article,1134313,G.  Ramalingam and Raghavan  Komondoor and John  Field and Saurabh  Sinha,,,,Semantics-based Reverse Engineering of Object-oriented Data Models,192--201,,10,"program understanding, type inference",10.1145/1134285.1134313,,,,,,,2006,,Proceedings of the 28th International Conference on Software Engineering,ICSE '06,,1-59593-375-1,"Shanghai, China",ACM,"New York, NY, USA"
article,3196432,Dan  Gopstein and Hongwei Henry Zhou and Phyllis  Frankl and Justin  Cappos,,,,Prevalence of Confusing Code in Software Projects: Atoms of Confusion in the Wild,281--291,,11,"program understanding, programming languages",10.1145/3196398.3196432,,,,,,,2018,,Proceedings of the 15th International Conference on Mining Software Repositories,MSR '18,,978-1-4503-5716-6,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,3106264,Dan  Gopstein and Jake  Iannacone and Yu  Yan and Lois  DeLong and Yanyan  Zhuang and Martin K.-C.  Yeh and Justin  Cappos,,,,Understanding Misunderstandings in Source Code,129--139,,11,"Program Understanding, Programming Languages",10.1145/3106237.3106264,,,,,,,2017,,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,ESEC/FSE 2017,,978-1-4503-5105-8,"Paderborn, Germany",ACM,"New York, NY, USA"
article,584988,Scott  Tilley and Shihong  Huang,,,,Documenting Software Systems with Views III: Towards a Task-oriented Classification of Program Visualization Techniques,226--233,,8,"documentation, program understanding, visualization",10.1145/584955.584988,,,,,,,2002,,Proceedings of the 20th Annual International Conference on Computer Documentation,SIGDOC '02,,1-58113-543-2,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,1026564,Steve  Murphy and Scott  Tilley and Shihong  Huang,,,,4th Workshop on Graphical Documentation: UML Style Guidelines,118--119,,2,"documentation, program understanding, visualization",10.1145/1026533.1026564,,,,,,,2004,,Proceedings of the 22Nd Annual International Conference on Design of Communication: The Engineering of Quality Documentation,SIGDOC '04,,1-58113-809-1,"Memphis, Tennessee, USA",ACM,"New York, NY, USA"
article,837871,Pui-Shan  Chan and Malcolm  Munro,,,,PUI: A Tool to Support Program Understanding,192--,,,,,,,,,,,1997,,Proceedings of the 5th International Workshop on Program Comprehension (WPC '97),WPC '97,,0-8186-7993-X,,IEEE Computer Society,"Washington, DC, USA"
article,2666578,Shinpei  Hayashi and Takashi  Ishio and Hiroshi  Kazato and Tsuyoshi  Oshima,,,,Toward Understanding How Developers Recognize Features in Source Code from Descriptions,1--3,,3,"Feature location, program understanding",10.1145/2666358.2666578,,,,,,,2014,,Proceedings of the 9th International Workshop on Advanced Modularization Techniques,AOAsia 2014,,978-1-4503-1818-1,"Hong Kong, China",ACM,"New York, NY, USA"
article,2341641,Steven P. Reiss and Alexander  Tarvo,,,,What is My Program Doing? Program Dynamics in Programmer's Terms,245--259,,15,"program understanding, visualization",10.1007/978-3-642-29860-8_19,,,,,,,2012,,Proceedings of the Second International Conference on Runtime Verification,RV'11,,978-3-642-29859-2,"San Francisco, CA",Springer-Verlag,"Berlin, Heidelberg"
article,1250748,Manu  Sridharan and Stephen J. Fink and Rastislav  Bodik,,,,Thin Slicing,112--122,,11,"debugging, program understanding, slicing",10.1145/1273442.1250748,SIGPLAN Not.,June 2007,42,6,,June,2007,0362-1340,,,,,,ACM,"New York, NY, USA"
article,1250748,Manu  Sridharan and Stephen J. Fink and Rastislav  Bodik,,,,Thin Slicing,112--122,,11,"debugging, program understanding, slicing",10.1145/1250734.1250748,,,,,,,2007,,Proceedings of the 28th ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI '07,,978-1-59593-633-2,"San Diego, California, USA",ACM,"New York, NY, USA"
article,858226,S.  Woods and L.  O'Brien and T.  Lin and K.  Gallagher and A.  Quilici,,,,An Architecture for Interoperable Program Understanding Tools,54--,,,,,,,,,,,1998,,Proceedings of the 6th International Workshop on Program Comprehension,IWPC '98,,0-8186-8560-3,,IEEE Computer Society,"Washington, DC, USA"
article,858230,A. von Mayrhauser and A. M. Vans,,,,Program Understanding Behavior During Adaptation of Large Scale Software,164--,,,,,,,,,,,1998,,Proceedings of the 6th International Workshop on Program Comprehension,IWPC '98,,0-8186-8560-3,,IEEE Computer Society,"Washington, DC, USA"
article,881300,Chairs: E. Stroulia,,,,Session 1B: Structure-Behavior-Function Program Understanding,120--,,,,,,,,,,,2001,,Proceedings of the 9th International Workshop on Program Comprehension,IWPC '01,,,,IEEE Computer Society,"Washington, DC, USA"
article,858243,Margaret Ann Francel and Spencer  Rugaber,,,,The Relationship of Slicing and Debugging to Program Understanding,106--,,,"Program slicing, reverse engineering, debugging",,,,,,,,1999,,Proceedings of the 7th International Workshop on Program Comprehension,IWPC '99,,0-7695-0179-6,,IEEE Computer Society,"Washington, DC, USA"
article,837883,P.  Tonella and G.  Antoniol and R.  Fiutem and E.  Merlo,,,,Points-to Analysis for Program Understanding,90--,,,,,,,,,,,1997,,Proceedings of the 5th International Workshop on Program Comprehension (WPC '97),WPC '97,,0-8186-7993-X,,IEEE Computer Society,"Washington, DC, USA"
article,584989,Scott  Tilley and Ken  Wong,,,,Workshop on Graphical Documentation for Programmers,234--235,,2,"documentation, program understanding, visualization",10.1145/584955.584989,,,,,,,2002,,Proceedings of the 20th Annual International Conference on Computer Documentation,SIGDOC '02,,1-58113-543-2,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,273224,Anneliese  von Mayrhauser and A. Marie Vans and Adele E. Howe,,,,Program Understanding Behaviour During Enhancement of Large-scale Software,299--327,,29,"abstraction level, cross-referencing, information needs, program comprehension, software evolution, software maintenance",10.1002/(SICI)1096-908X(199709/10)9:5<299::AID-SMR157>3.3.CO;2-J,Journal of Software Maintenance,Sept.-Oct. 1997,9,5,,September,1997,1040-550X,,,,,,"John Wiley &amp; Sons, Inc.","New York, NY, USA"
article,837882,Hongji  Yang and Paul  Luker and William C. Chu,,,,Code Understanding Through Program Transformation for Reusable Component Identification,148--,,,,,,,,,,,1997,,Proceedings of the 5th International Workshop on Program Comprehension (WPC '97),WPC '97,,0-8186-7993-X,,IEEE Computer Society,"Washington, DC, USA"
article,1438606,Martin P. Robillard and Putra  Manggala,,,,Reusing Program Investigation Knowledge for Code Understanding,202--211,,10,"Program Investigation, Concerns, Software Navigation, Knowledge Reuse",10.1109/ICPC.2008.10,,,,,,,2008,,Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension,ICPC '08,,978-0-7695-3176-2,,IEEE Computer Society,"Washington, DC, USA"
phdthesis,221877,Jay Kevin Joiner,,,,,,,,,,,,,,,,1995,,Data-centered Program Understanding,,,,,University of Minnesota,"Minneapolis, MN, USA"
